City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,Meulaboh,ID,81.16,overcast clouds,4.14,96.13,Kost Pria
244,Ixtapa,MX,82.4,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
246,El Reten,CO,77.0,light rain,10.61,-74.27,Finca La Maria
249,Port Blair,IN,82.92,light rain,11.67,92.75,Fortune Resort Bay Island
252,Tadine,NC,78.06,light rain,-21.55,167.88,
254,Wattegama,LK,78.94,overcast clouds,6.8,81.48,
258,Itaituba,BR,82.65,clear sky,-4.28,-55.98,Hotel Campos
260,Puerto Leguizamo,CO,79.61,light rain,-0.19,-74.78,la casona de juancho
263,Acarau,BR,77.43,broken clouds,-2.89,-40.12,castelo pizzaria
264,Luganville,VU,78.8,light intensity shower rain,-15.53,167.17,The Espiritu Hotel
267,Riohacha,CO,79.77,light rain,11.54,-72.91,Hotel Taroa
277,Cam Ranh,VN,87.8,few clouds,11.92,109.16,OYO 598 Peony Hotel
280,Port Moresby,PG,86.0,moderate rain,-9.44,147.18,Lamana Hotel
281,Itarema,BR,77.92,broken clouds,-2.92,-39.92,Windvillage
282,Algarrobo,CO,77.0,light rain,10.19,-74.58,
286,Mumford,GH,77.38,light rain,5.26,-0.76,Spanish Villa
288,Thinadhoo,MV,82.87,scattered clouds,0.53,72.93,
293,Nioro,GM,75.2,clear sky,13.35,-15.75,
295,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
296,Bairiki,KI,87.8,few clouds,1.33,172.98,Tarawa Boutique Hotel
298,Qui Nhon,VN,80.55,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
300,Araouane,ML,81.9,scattered clouds,18.9,-3.53,
302,Jibuti,DJ,78.8,haze,11.5,42.5,Orchid Main Camp Goubet
306,Shenzhen,CN,77.0,overcast clouds,22.55,114.07,Shun Hing Square
315,Pyapon,MM,79.29,broken clouds,16.28,95.68,Aung Naing Thu Motel
317,Isangel,VU,82.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
321,Mitu,CO,77.16,overcast clouds,1.2,-70.17,
322,Guaruja,BR,75.0,light rain,-23.99,-46.26,Charme Hotel Guarujá
327,Kawalu,ID,82.47,light rain,-7.38,108.21,KOSAN UNGU UNSIK
338,Nouakchott,MR,78.8,clear sky,18.09,-15.98,Hôtel Iman
340,Poum,NC,77.54,overcast clouds,-20.23,164.02,Gîte kajeon
344,Manokwari,ID,84.94,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
345,Maine-Soroa,NE,79.72,clear sky,13.21,12.02,
346,Doha,QA,77.0,clear sky,25.29,51.53,Doha Marriott Hotel
347,Maceio,BR,75.2,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
349,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
359,La Asuncion,VE,80.6,overcast clouds,11.03,-63.86,Colinas de Matasiete
360,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
361,Lazaro Cardenas,MX,80.11,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
364,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
368,Cayenne,GF,80.6,few clouds,4.93,-52.33,Hôtel Le Dronmi
372,Jaguaruana,BR,75.47,few clouds,-4.83,-37.78,Pousada Popular
374,Road Town,VG,82.99,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
378,Sri Aman,MY,82.4,few clouds,1.24,111.46,Seri Simanggang Hotel
381,Noumea,NC,84.99,overcast clouds,-22.28,166.46,Hôtel Le Lagon
383,Pundaguitan,PH,83.35,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
384,Samarai,PG,81.79,light rain,-10.62,150.67,Nuli Sapi
387,Mount Pleasant,US,78.01,overcast clouds,32.79,-79.86,Best Western Patriots Point
389,Santa,PH,85.05,heavy intensity rain,17.49,120.43,The Mansion
391,Sabang,ID,82.36,overcast clouds,5.89,95.32,Hotel Citra
394,Itaguai,BR,77.0,light rain,-22.85,-43.78,It Grande Hotel Itaguai
397,Mindelo,CV,77.0,few clouds,16.89,-24.98,Hotel Gaudi
399,Tagusao,PH,84.27,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
400,Khonsa,IN,75.45,scattered clouds,27.02,95.57,
402,Altamira,BR,80.56,clear sky,-3.2,-52.21,Requinte Hotel
404,Goundam,ML,82.85,broken clouds,16.41,-3.67,
406,Harindanga,IN,77.0,haze,22.04,88.32,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
407,Arlit,NE,76.01,clear sky,18.74,7.39,Hôtel Telwa Bungalow
409,Bourail,NC,83.95,overcast clouds,-21.57,165.48,Nekweta
411,Douentza,ML,77.92,clear sky,15.0,-2.95,Ogomono Doumbo
418,Alofi,NU,78.8,light intensity drizzle,-19.06,-169.92,Taloa Heights
422,Kavieng,PG,81.25,moderate rain,-2.57,150.8,Nusa Island Retreat
426,Bandarbeyla,SO,77.79,broken clouds,9.49,50.81,REER XOOSHLE GROUP
436,Kollo,NE,78.8,clear sky,13.3,2.34,
439,Soyo,AO,77.29,broken clouds,-6.13,12.37,Hotel Mpampa
442,Amapa,BR,79.61,clear sky,1.0,-52.0,
450,Terra Santa,BR,80.49,light rain,-2.1,-56.49,Igreja da paz
454,Mitsamiouli,KM,78.53,light rain,-11.38,43.28,Foyer ADM
458,Wiang Sa,TH,87.01,overcast clouds,8.64,99.37,ชำนาญอินน์
459,Grand-Santi,GF,76.3,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
468,Takoradi,GH,77.47,clear sky,4.88,-1.76,Raybow International Hotel
470,Itupiranga,BR,81.28,scattered clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
475,Alyangula,AU,89.6,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
476,Gizo,SB,84.42,light rain,-8.1,156.84,Imagination Island
477,Banda Aceh,ID,84.54,broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
480,Tanout,NE,77.63,clear sky,14.97,8.89,
482,Trairi,BR,78.35,few clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
487,Ballina,AU,86.0,clear sky,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
497,San-Pedro,CI,76.24,light rain,4.75,-6.64,Hotel Maria
502,Marawi,PH,81.0,overcast clouds,8.0,124.29,Derogongan Residence
504,Labuhan,ID,87.51,light rain,-6.88,112.21,bador sepret
507,Ouallam,NE,81.91,clear sky,14.32,2.09,
508,Soe,ID,86.2,broken clouds,-9.86,124.28,Dena Hotel
509,Vanimo,PG,77.43,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
513,Virginia Beach,US,78.01,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
515,Jacmel,HT,82.4,scattered clouds,18.23,-72.53,Hotel Florita
518,Sibolga,ID,85.51,few clouds,1.74,98.78,Hotel Syariah CN Darussalam
521,Monrovia,LR,77.0,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
