City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Isla Mujeres,MX,2020-10-28 03:58:56,21.23,-86.73,82.4,83,75,10.29
136,Haines Junction,CA,2020-10-28 03:58:56,60.75,-137.51,28.56,95,96,1.97
137,Capao Bonito,BR,2020-10-28 03:58:56,-24.01,-48.35,63.1,76,0,3.62
138,Shelburne,CA,2020-10-28 03:58:57,44.08,-80.2,32.0,100,20,3.36
139,Srednekolymsk,RU,2020-10-28 03:52:40,67.45,153.68,14.09,92,86,9.86
140,Kayerkan,RU,2020-10-28 03:58:57,69.35,87.76,-0.56,82,0,5.19
141,East London,ZA,2020-10-28 03:50:30,-33.02,27.91,60.8,93,0,9.17
142,Nunoa,PE,2020-10-28 03:58:57,-14.48,-70.64,44.91,47,45,2.98
143,Bichura,RU,2020-10-28 03:58:58,50.59,107.6,43.48,54,23,0.09
144,Korem,ET,2020-10-28 03:58:58,12.51,39.52,51.51,66,0,2.57
145,Qujing,CN,2020-10-28 03:58:58,25.48,103.78,63.48,76,100,7.0
146,Labayug,PH,2020-10-28 03:58:58,16.15,120.57,85.95,70,81,4.59
147,Mount Gambier,AU,2020-10-28 03:58:59,-37.83,140.77,66.2,52,75,3.36
148,Guerrero Negro,MX,2020-10-28 03:52:23,27.98,-114.06,62.49,37,0,13.71
149,Lompoc,US,2020-10-28 03:55:32,34.64,-120.46,55.4,82,1,3.36
150,Havelock,US,2020-10-28 03:48:41,34.88,-76.9,66.2,93,40,2.51
151,Camana,PE,2020-10-28 03:58:59,-16.62,-72.71,62.4,78,60,6.38
152,Cayenne,GF,2020-10-28 03:50:39,4.93,-52.33,77.0,100,20,9.46
153,Sobolevo,RU,2020-10-28 03:52:21,54.43,31.9,41.88,87,0,10.07
154,Victoria,HK,2020-10-28 03:52:03,22.29,114.16,81.0,68,100,14.0
155,Shimoda,JP,2020-10-28 03:59:01,34.67,138.95,68.0,72,75,9.17
156,Wasilla,US,2020-10-28 03:59:01,61.58,-149.44,30.2,92,90,1.52
157,Portland,US,2020-10-28 03:55:27,45.52,-122.68,48.0,75,1,0.72
158,Nome,US,2020-10-28 03:51:58,64.5,-165.41,33.8,86,90,5.82
159,Guiyang,CN,2020-10-28 03:59:01,26.58,106.72,57.2,87,90,8.95
160,Naze,JP,2020-10-28 03:49:50,28.37,129.48,80.6,61,75,9.17
161,Niksar,TR,2020-10-28 03:59:02,40.59,36.95,64.9,28,0,8.99
162,Faanui,PF,2020-10-28 03:51:31,-16.48,-151.75,79.75,81,100,18.12
163,Kavieng,PG,2020-10-28 03:59:02,-2.57,150.8,85.05,66,58,5.5
164,Beringovskiy,RU,2020-10-28 03:51:06,63.05,179.32,27.28,93,67,12.97
165,Lovozero,RU,2020-10-28 03:59:03,68.0,35.01,35.71,94,98,6.67
166,Carmen,MX,2020-10-28 03:59:03,18.63,-91.83,77.23,84,91,7.81
167,Ondjiva,AO,2020-10-28 03:59:03,-17.07,15.73,66.94,32,43,6.17
168,Sarangani,PH,2020-10-28 03:59:03,5.4,125.46,79.48,76,100,3.85
169,Cabra,ES,2020-10-28 03:59:04,37.47,-4.44,48.0,100,0,1.12
170,Kahului,US,2020-10-28 03:49:10,20.89,-156.47,82.4,69,1,3.36
171,Oskemen,KZ,2020-10-28 03:59:04,49.96,82.61,37.4,51,75,8.95
172,Hami,CN,2020-10-28 03:59:04,42.8,93.45,56.91,30,0,7.78
